tweets,location,category,latitude,longitude
"Just how good is the bowling attack of  Not to forget that  has not been playing lately. Being from the same fraternity, always a proud feeling to see bowlers winning matches for their teams especially defending small totals.   ","Kolhapur, India",positive,16.7028412,74.2405329
Haaha Namade batch should watch and to know how to  defend           ,hyderabad,negative,17.3886068,78.4608095675926
-  team is more like  team dont do much with bat but win matches coz of their superb bowling ,Lahore,positive,31.5195822,74.326297
"  Fans are like: How much should a team score to win in an IPL match
 like: Anything above 200, still not enough...",Jeddah Saudi Arabia ,positive,21.5822247,39.1640396
"It's a crazy collapse of   is skating.
 ","Peshawar, Pakistan",negative,34.0123846,71.5787458
Wow just wow    ,"Sheffield, England",positive,53.3806626,-1.4702278
"  Kings XI collapsing in Hyderabad

77/3
82/4
88/5
92/6

A low score thriller is in the offing.

   ","Telangana, India",negative,17.8495919,79.1151663
" 11.15 pm officially said 
Thrilling movement of ","à¤­à¤¿à¤²à¤¾à¤ˆ, à¤­à¤¾à¤°à¤¤",positive,NA,NA
Rashid Khan.simply amazing talent  ,"Auckland, New Zealand",positive,-36.8534665,174.7655514
"Time to get in  in place of  for  ?
  ","Lucknow, India",negative,26.7502294,80.9999263
"Admit It.. Is The Only Team In  Which Has Best Bowling Line Up Than Any Other Teams And Whose Bowlers Are Capable To Take Responsibility To Win Matches In Their Shoulders.       
What say ","Allahabad, India",positive,25.2859603,81.896732069544
"   'StarPlus' 

You can only expect a perfect seflie with  

.
",Saint Pierre,positive,-21.341298,55.4776174
Need to start this season at least now    ,"Vemsur,Telangana",negative,NA,NA
"
4-5 dropped chances for manish pandey and still score is just 132...
 
",gurgaon,positive,28.48895715,77.0107837846576
 I guess the answer is wasim jaffer    ,"London, Ontario",negative,42.988576,-81.246643
Congrats  for the first 5 wicket haul in this   ,"pondicherry , india ",positive,11.9340568,79.8306447
"Take a bow, Ankit Rajpoot!
The  pacer bags the 1st five-wicket haul of 
  ",World Wide Web,negative,NA,NA
Waiting for strom today   # gayle gayle strom,Chennai | Hyderabad,negative,17.4333023,78.446643
"Is cricket really being played today?. The way umpires being attentive, shakib attitude, and tiwary bowling, and others taking catches.  Poor quality in ",vizag&paderu.India,negative,NA,NA
"  How can we let our  leave without a hamper, right? 
   ","Mumbai, India _ bharat",negative,18.95806,72.8252896
What a game it is a caught drop and then out on a no ball      ,"Indore, India",negative,22.7203851,75.8682103
" bat and square cut with the ball - never ending love story 


","Nallakunta, Hyderabad",negative,17.3975005,78.50557
Its an insane and stupid idea to shove a microphone in to a live fielder and talking to that guy ! Just my feeling.. ,Time,negative,58.70742255,5.75122218341093
God! Has it been 24 hrs already? So  Finchy still there but needs some runs really  while on  Hales misses out AGAIN &amp; even CJ is benched    comms muted got a rap soundtrack on today ,ä¸­å¤®ã�®å·¦å�´,negative,NA,NA
 have good record against     ,"muscat,oman",positive,23.5125498,58.55137343736
" Heres Entry With       In    
 ","Bhubaneswar,India",negative,20.2603328,85.8393432
 big conation  7    ,"Rosera, India",negative,NA,NA
CSK facts....    ,Seychelles,negative,25.2244645,55.1828800434721
"  Who will WIN tonight ??
     ", Ahemadabad,positive,22.6966567,75.7861511
"
 maybe SRH today after watching  and  ","Hospet, India",negative,15.266079,76.3870527
"What's your take on Kohli's captaincy last night?
Right from the selection of playing xi to the use of bowlers in the second innings.
Would be delighted knowing your precious view.
 
 

 
 
 
","Bhopal,India",positive,23.2530923,77.3962718
Creativity is always gift of nature. Perception explains eternal behavour  of a person.     ,Anantnag J&K,positive,NA,NA
Thala is back and great finish  ,"Srivilliputhur, India",positive,9.5801104,77.9533295
" has got Choudhary &amp; Tim Southee ,still they mourn abt not having an efficient bowling lineup especially for death overs.are these 2 injured or what?? Come on ppl its getting frustratingly crucial.  ",INDIA,negative,22.3511148,78.6677428
     What a match   vs      u r Big!!!   hitter  u r Big!!!   Big!!!  Finisher..... Good Work   Keep it Up!...  ,Midalakadu,positive,NA,NA
