tweets,location
   So an apology would work for playing with data of more than million users? Wow   ,UAE
  Australian businesses: do you need to comply with the new European privacy laws?   ,United Kingdom
Australian businesses: do you need to comply with the new European privacy laws?      ,"Sydney, New South Wales"
"Facebook has warned investors that more users' data scandals in the future may adversely affect the social networking giant's reputation and brand image   
","New Delhi, India"
"   

Must watch sadhna tv 7:30pm to 8:30pm

Nd see this video

",
"  UK wants  to testify as  CTO answers fall short 
 htt",
. concealed the truth of what it knew about  lawmaker claims.   ,
"UK wants  to testify as  CTO answers fall short 
 ","Chennai, India"
"  
From the popular series, laugh with  

Uuuuh what ? That was too long, the fine print? So",earth
"
From the popular series, laugh with  

Uuuuh what ? That was too long, the fine print? So you did not read it?
Ooops 

        ",Northern Ireland
" UK lawmakers ask  to appear before panel

 ",India
  Never in my life have I seen a comercial for  until today! They are trying really hard to get on good terms after,Nevada
"Facebook was just accused of 'concealing' evidence about its enormous data breach 

 by ","Toronto, Ontario, Canada"
"Facebook was just accused of 'concealing' evidence about its enormous data breach

  by ",Cambridge | Mississauga ON
  Companies make billions selling your  What if you got a cut of that? By  of   ,"Milan, Lombardy"
"Companies make billions selling your  What if you got a cut of that? By  of       
 via ",Tampa Bay
Interrogating Zuckerberg: A Bad Lip Reading        ,Everywhere
Apathy is alive and well!  ,"Kona, HI & Modesto, CA"
What the Facebook Cambridge Analytica Scandal Means for Online Marketers    ,"Scottsdale, AZ"
"Have you already received the new privacy statement of Facebook ? I have, and maybe more rather than explaining the use of the data, I was expecting the new measures to secure my privacy. 
  

","London, England"
Hahaha  commercial airing during the  is straight garbage. Such an insincere attempt to make up for their transgressions against our country and our privacy.  ,"Arizona, USA"
"Here  does a great job explaining why 
   
",Israel/NYC
".        
No. But he can. ","Toronto, Ontario"
".     
      
You ladies certainly put that weary old man in his place. Maybe now he can retire before all honour has left him. ","Toronto, Ontario"
"What I want to know is who makes something out of this? Brexit, Trump, who has something to gain?   
WHO is behind this and Why?",Boring
"Failure to read the T&amp;Cs is not an adequate defence for an individual, let alone one of the biggest corporations in the world. A pathetic excuse.  ",London
"want a   that PAYS YOU 2 interact?

THERE IS 1 &amp; its poised 2 take over 
JOIN-
 

          ",
"  want a   that PAYS YOU 2 interact?

THERE IS 1 &amp; its poised 2 take over 
JOIN 
",
"Malicious apps are still stealing your info on Facebook. Heres how to disconnect them now.
         ",Mansoura - Egypt
"How Fake Mark Zuckerbergs Scam  Users Out of Their Cash 
---
   $FB       ",National
Its interesting how all that Facebook bullshit has changed all the privacy policies of just about every fucking website out there.  ,Pacific Northwest
"Cambridge Analytica whistleblower makes Capitol rounds

---
      $FB     ",National
"  "" after The Great Privacy Panic of 2018"". The sum of  changes is the biggest in years and you need a pl",worldwide
"Never in my life have I seen a comercial for  until today! They are trying really hard to get on good terms after all those dirty secrets came out.
","Las Vegas, NV"
"Thoughts on  closing plenary: business models influence how things are done (and their impact) beyond the cash flow! Not only in social media companies, but specially obvious in this case right now   We can decide to do things differently! &lt;3","Pittsburgh, PA"
  FROM TODAY'S   ,#BeerputNederland
"S01E07 My Reaction To Mark Zuckerberg

 







     

","Pompano Beach, FL"
"Despite backlash, the  troubles havent paralyzed its growth.  ","Seattle, WA"
Survey: Only 7 percent of businesses GDPR-compliant as deadline looms        ,United States
"just as i thought, no one really gives a shit, 
",Los Angeles
" will help control Russian misinformation on Facebook. So what's the hold up? 

You guessed it.




 



 ","Ohio, USA"
  In his speech before  today  spoke about  Quoting  &amp;  he called for gr,"Paris, Ile-de-France"
""" after The Great Privacy Panic of 2018"". The sum of  changes is the biggest in years and you need a plan to adapt   ","San Jose, CA"
  Cartoon on Facebook.    ,bogota
""" GDPR and  concerns wont hurt growth - Digiday""                  ","Bangalore, INDIA"
Diamond  &amp; Silk crush it    ,
This thread is peak stupidity  ,"Vancouver, British Columbia"
"Fakebook    
   


""I think Facebook concealed the truth from us,"" Ian Lucas, member of parliament representing the opposition Labour Party, said.

 ","Bellingham, WA"
"  ""We write about this stuff all the time, but you don't realize what it actually means to have your privacy violated until i","New York, NY"
"  Meanwhile as  flounders,  is reporting on  and  grilling in","Ann Arbor, MI"
"""We write about this stuff all the time, but you don't realize what it actually means to have your privacy violated until it happens to you. What really bothers me is I didn't do anything. If I click on something it's my fault."" -  ",New York
Both  and  don't have emoji for mango....     ,Planet Earth
"   Nice.

 

 ",United Kingdom
"   Why exactly did  send this guy again?

Good work to all  members on their questioning.

 

",United Kingdom
"Meanwhile as  flounders,  is reporting on  and  grilling in Select Cttee which May well mean there was ",Macclesfield
  Its funny cause its true  .   ,United Kingdom
"Try to close a Facebook account! Good luck! 
    

","Minnesota, USA"
"Facebook &amp; Cambridge Analytica: What we know, what they knew &amp; where that leaves us      ","Toronto, Ontario"
It's fascinating to see governments embrace FOSS applications... Like the FB debacle was useful for something    ,"Chennai, india"
These five  could have been prevented using   solutions. Find out more:   ,"London, UK"
"  What do the GDPR, Facebook and JD Wetherspoon have in common? And why are we even talking about the new data protection","London, UK"
"     Mr Avenatti, maybe you could represent the people in a lawsuit against trump,",WA...the good one
"   ""cryptic"" and ""evasive"" answers on  failed to impress the Indian govt. It is now seeking fu",India
". CTO said, those wanting to run political adverts would have to complete an authorization process. 

","New Delhi, India"
"What do the GDPR, Facebook and JD Wetherspoon have in common? And why are we even talking about the new data protection act? Have a look at our latest blog post for an answer to all your data privacy questions: 
   ","Brighton, England"
"  Uh-oh, live feed is down.
Use this instead:


 
 ","Hertfordshire, England (previously Minnesota, USA) #TheResistance"
"Uh-oh, live feed is down.
Use this instead:


 
 
",United Kingdom
". earnings up 39% last quarter, despite  Seems advertisers actually like access to user data. Who knew.   ","New York, USA"
"Ahem.  Facebook did not read the terms and services of the app that improperly shared user data with Cambridge Analytica, the company's chief technology officer said today. ","Ottawa, Canada"
"Why doesn't CTO  know about the legalities around data ownership?

 
",United Kingdom
"  Facebook delivered some good news last night amid a growing data scandal. However, second quarter results will show more","Ottawa, ON, Canada"
"Facebook delivered some good news last night amid a growing data scandal. However, second quarter results will show more of its impact   ",Canada
"  What is $IoP?



  $IoP     ","Washington, DC & Medellin, Colombia"
  Remember that  campaign sparked by the Cambridge Analytica scandal? Had zero effect. Monthly active users,"London, England"
"Remember that  campaign sparked by the Cambridge Analytica scandal? Had zero effect. Monthly active users up 13% year on year. FT: 
    ","London, England"
5 Lessons Companies Can Learn From Facebook's Data Privacy   by     via  ,"New York, NY"
"""We did not read all of the terms and conditions"" ... They didn't read the user agreement?  Didn't they imply that ""we"" had signed up knowing what they would do with our data since WE should have read theirs?   ","Arlington, VA"
"Think about this question- How safe is our privacy in this world of social media?
 
       ",India
"  Indian government sends second notice to Cambridge Analytica (CA) and Facebook over recent data reach
 ",gudgaon delhi ncr
"Only 7 percent of businesses GDPR-compliant as deadline looms, data privacy gains prominence        ",Heidelberg
"Since  episode, whenever we login to any service, getting updated privacy policy. Getting safer side..hmm!",Offshore Development
  Cartoon for April 11.     ,Athanasius Contra Mundum
"  lol that's a weasel apology 

""I'm sorry this person feels that way"" isn't the same as ""I'm sorry for our behaviour"".
","Ann Arbor, MI"
"  Big difference between these UK Select Committees and US Congress.

UK doesn't have absurd 4-minute limits per person.
Means","Hertfordshire, England (previously Minnesota, USA) #TheResistance"
"lol that's a weasel apology 

""I'm sorry this person feels that way"" isn't the same as ""I'm sorry for our behaviour"".



 
 ",United Kingdom
" My time on Facebook has diminished considerably.  Haven't said goodbye yet... need to get all my photos and videos backed up first.

 
",USA
Facebook's CTO Mike Schroepfer live in parliament answering MP questions. Worth watching       ,Ireland
"  Facebook's CTO Mike Schroepfer live in parliament answering MP questions. Worth watching 

","Windsor, Nova Scotia"
"Facebook's CTO Mike Schroepfer live in parliament answering MP questions. Worth watching 

   ","Tbilisi, Georgia"
"Big difference between these UK Select Committees and US Congress.

UK doesn't have absurd 4-minute limits per person.
Means follow-up questions can be asked and further detail can be extracted.

  

 ",United Kingdom
WORLDWIDE: Facebook Rep. Testifies Before House of Commons Amid Cambridge Analytica Scandal       ,"San Diego, CA"
"Well the new data privacy for whatsapp and Facebook is a joke. I updated mine and it ask are u 16 or over and I ticked yes didn't ask for anything further. Well any 16 year old can tick yes.

 ",United Kingdom
  Privacy issues further revealed  via    ,"Oran                                                                                                , Algeria"
The dilemma of what to post on facebook will soon be solved as facebook is coming up with a policy which will educated the users about its policy. Read more at:    ,"Mumbai, India"
Facebook go all out to keep users.  ,"Plymouth, UK"
"RESPECT  THE SUPPO



 

    
Yes 

 ","Central Islip, NY"
Very important distinction    ,
Facebook to vet UK political ads for May 2019 local elections    ,Bedford UK
"Indian government sends second notice to Cambridge Analytica (CA) and Facebook over recent data reach
    ","Gurgaon, India"
Most of the organizations are not ready for        ,"Tervuren, Belgium"
". profits jump 63%, with no impact from  
 ","Chennai, India"
Looks like people don't care about their data.   ,Planet Earth
" ""cryptic"" and ""evasive"" answers on  failed to impress the Indian govt. It is now seeking further clarification.  ","Mumbai, India"
"  
U Were Awesome In Questioning 
 
Thank U For Standing Up For ALL Conservatives Including ","Pennsylvania, USA"
"I just noticed that  suggests me friend to follow which they point out that the person is in my contact, while I didnt choose to sync my contact from the first place. Now I dont really know if I should trust IG    ",Singapore
"   FOLLOW THE MONEY! Questioning now Frank Pallone of New Jersey and he received $7,000 from Facebook!

",
"what are the things which you should post on facebook? Read: 
   ","Mumbai, India"
"So many activists, especially  activists filming police brutality, have been banned or had their content removed. An appeal process is the first step in a seriously overdue platform overhaul.   ","Toronto, Ontario"
"Facebook appears to be stronger than the Cambridge Analytica's scandal
     ","New York, USA"
Almost half of the respondents (49 percent) to a new SAS survey reported that GDPR would have a significant impact on their organizations artificial intelligence projects.        ,Sydney 
"It seems that Facebook is performing quite well according to Q1 report. We will see in Q2 
  
","London, England"
 every soon..if not already..smart devices will be distributed free..by software..online internet companies...:)  we are in :))),Bangalore
 What an excellent tweet - perfectly describes my feelings toward FB right now   ,Melbourne
What else do we need to know about   ,Canada
"Zuckerberg to Congress: 'I'm responsible and I'm sorry' 
     ",West Midlands UK
Because ppl just cant resist a brunch photo like   ,"Toronto, Canada"
ICYMI ---&gt;&gt;  Portent for Your Medical  Too? by Dr. Elizabeth Lee Vliet ,United States
Meet the Professor Whos Warning the World About  and Google - The Chronicle of Higher Education      ,"Oakland, California"
"  They are proud of course, earnings are higher than ever. Only proves that even scandal at  ",United States
  Facebook: The medium is the message ,
"They are proud of course, earnings are higher than ever. Only proves that even scandal at   's scale can't leave a dent on Facebook's business $FB  ","Austin, TX"
 Perhaps profits have soared despite the  because the scandal didnt get exposed until the end of the actual quarter in concern.    ,"London, England"
The action by facebook on moderation still doesnt address the main problem of selling data. This doesnt change their basic business model. ,London
"Senators Introduce Bill Regulating Facebook, Google And Other Big Tech Companies That Collect Personal Data
  ","Washington, DC"
"New terms and conditions,  That's cool, as long as you don't pull a  on my ass.
","Southampton, UK"
"""This is going to be a never-ending battle.""-Facebook CEO Mark Zuckerberg on Facebook's security measures.

   

","Kansas City, MO"
"""this is 1 of the reasons  was created for all along""    

",Not a gun free zone ???
"Facebook will have tools in to block  ready for elections. ""Were going to get this done in time for the 2018 US midterms,"" says Mark Zuckerberg.   ","Half Moon Bay, CA"
"  S.F. PUBLIC TOILET KIOSKS UPDATE at 



","Mountain View, CA"
"""Results suggest advertisers were undeterred by controversies around the sites mishandling of user data.""  via    ","Washington, DC"
Common Sense Media has filed a request with the Federal Trade Commission to investigate the impact of the Facebook data mishandling specifically on teenagers.     ,
  For a good laugh!! (      ,Cali
"

We comin' for ya Zuck.   ",new york
Facebook moves 1.5bn users out of reach of new European privacy law     ,West Midlands UK
  Only 7% of business' are ready for GDPR       ,"United Kingdom, United States"
"  VIDEO: Mark Zuckerbergs Facebook Senate Hearing Gets an (Equally) Absurd Bad Lip Reading 

  ","Bellingham, WA"
"  Can't Define It, Depends On What The Meaning Of The Word Is Is   facebook  ","Realville, USA"
"Finally getting around to watching the IT Crowd, the Friendface advert in Season 3 is quite appropriate for the current climate 

","England, United Kingdom"
In his speech before  today  spoke about  Quoting  &amp;  he called for greater cooperation between  &amp;  to strike right balance between  &amp;  to harness the power of  /  ,"Paris, France"
  Almost half of the respondents (49 percent) to a new SAS survey reported that GDPR would have a significant impact on thei,"Dublin City, Ireland"
  The 5 stages of   grief. Which stage are you at? I think I'm in depression.  ,I am a work in progress
 arrives in May.  Would your company have updated privacy &amp; user data legal docs                  ,Scottsdale Los Angeles SFO
  Did Cambridge Analytica access your Facebook data? How to check.    ht,
Did Cambridge Analytica access your Facebook data? How to check.    ,"Miami Beach, FL"
The 5 stages of   grief. Which stage are you at? I think I'm in depression.  ,Manchester
"S.F. PUBLIC TOILET KIOSKS UPDATE at 




 ","San Francisco, CA"
"    ...OR, EXPECT Your Neighbor 2 THEN SELL Your PERSONAL BELONGINGS 
... &amp; THEN EXPECT Your",USA
"  ...OR, EXPECT Your Neighbor 2 THEN SELL Your PERSONAL BELONGINGS 
... &amp; THEN EXPECT Your Neighbor 2 CLAIM, ...Hey Man, YOU Gave ME Your KEYS! 

   
",USA
" We do not want to play along with your MAGA victim trips, you crazy fuck.  Leave Apple out of it.  ",West Michigan
For a good laugh!! (                     ,
  Govt sends a second notice to Facebook &amp;  seeking more details on the data breach issue.  ,
"Yesterday I typed the words ""Dear Evan Hansen"" in a comment on someone's Facebook post, and now that's every ad on every site I visit. It's getting a little creepy. ",New York
"Govt sends a second notice to Facebook &amp;  seeking more details on the data breach issue.   
",India
"VIDEO: Mark Zuckerbergs Facebook Senate Hearing Gets an (Equally) Absurd Bad Lip Reading 

      
 ",1776 N American Dream Dr.
"  With Facebook's latest data scandal, we are able to identify the pros and cons of online platforms tracking their users d",Worldwide 
"With Facebook's latest data scandal, we are able to identify the pros and cons of online platforms tracking their users data and analytics.  The main Pro is businesses are able to tune into conversations about their brand, what do you think?   ",
RAPP LAs David DeBetta shares his POV on where Facebook marketing is headed in the wake of the Cambridge Analytica scandal. Learn more with    ,Worldwide
Forget the  this problem is sadly ubiquitous on the web and poses an exponentially higher risk for private data of the average consumer. ,"Manchester, NH"
FROM TODAY'S   ,London
Is Facebook replaceable? Tech investor launches bid to 'start the process'  via      ,NYC & Miami
"  Cambridge Analyticas ex-CEO backs down for the second time.

   ","Portland, OR"
" is to provide a new  with more attention to  of  by May 25, 2018.  rocks 
Kudos to  for giving this a start. 
      ",
"  What's common between Facebook and my a month old nephew ? 

Both of the leak 

Fb has got a tough competition this summer","Portland, OR"
"  Facebook Launches Its Biggest Ever Ad Campaign to Say Sorry (Sort Of): 

 ",Ireland
so we want the whole world to acknowledge our thoughts and selfies but not the government? or advertisers cause big corporations don't need our money? ,Cânãdiä
  GDPR will have a significant impact on organizations artificial intelligence projects.    ,"Boston, MA"
"  THIS! 
   
 
    ht",Prison Planet
   | India sends notice to Facebook and  Government questions Facebook for measures taken. ,United States
  I didn't give any permission to messenger app to read my sms still it is getting access to my sms  ,United States
  Honestly Facebook must have the data on what you have searched because today I have sesrched for boots and phone cases,United States
"  

""But in the newly published material, the universitys psychology research ethics committee s",United States
  Facebook willingly handed over data to the man it now blames for the Cambridge Analytica scandal ,United States
"  Too funny, and oh-so appropriate: 
   ",United States
  The biggest damage done by Facebook isn't data mining. More damage is done by Facebook algorithms which give users news and op,Canada
"Facebook Launches Its Biggest Ever Ad Campaign to Say Sorry (Sort Of): 

   ",Ireland
"  Cambridge Analytica : Nix absolutely lied to committee, says Aleksandr Kogan  ",
"They cant let people know what theyre actually doing because that might really trigger the kind of collective disagreement that would be fatal to their operations.  speaks on  via 

",New York
"want a   that PAYS YOU 2 interact?

THERE IS 1 &amp; its poised 2 take over 
JOIN 


          ",
"Too funny, and oh-so appropriate: 
   ","North Myrtle Beach, SC"
"  Whether you run or manage a small or large business, do you have a crisis plan in place?   ","Accra, Ghana"
  Twitter shares are now down about 5% despite beating earnings on all metrics. Why? -- disclosures that revenue growth wi,
"Twitter shares are now down about 5% despite beating earnings on all metrics. Why? -- disclosures that revenue growth will slow for rest of 2018, potential regulatory headwinds and overhang from perceived  , and drastic share price growth over past few months","San Francisco, CA"
" Cambridge Analytica's Response 'Cryptic and Evasive', Finds Government | Read full report.
","Mumbai, India"
GDPR will have a significant impact on organizations artificial intelligence projects.       ,Amsterdam
With only a month until  deadline goes into effect  93 percent of respondents to a SAS global survey say they are not yet fully GDPR compliant and less than half expect to be compliant by deadline.    ,"Durham, NC"
Are you worried about how safe your business is on Facebook? Following the Facebook / Cambridge Analytica scandal we wanted to give you 4 steps to take to ensure your business stays secure    ,"Essex, London, Kent"
Only 7% of businesses!        ,Dublin
"Only 7 percent of businesses GDPR-compliant as deadline looms, data...        ",
Only 7% of business' are ready for GDPR        ,
"I just deleted Facebook and joined Twitter. I feel like I'm having an affair. Lol
 ",
"GDPR is coming fast,        ",
"So many people may not know it, but the people's mind is controlled in a way now that they give up their own information voluntarily. 
 ",Bern & Jerusalem
    Been trying to get my hacked account back for two weeks!Your support is NOT HELPING AT ALL!!!! Look,"Austin, TX"
"   Advertising and the problem with data. Some thoughts from me: 
 ","Ottawa, Ontario"
The biggest impact of  and  by  has been that all the  have updated their  policy. Hope something changes for the good.,"mumbai, India"
" may make tons of money  but this time, Wall Street's worried about engagement - ",
"  Last month, Christopher Wylie, a whistleblower, had said the company had worked ""extensively"" in India.  ",India
"The  has brought data privacy into the forefront of consumers' minds. With  only a month away, now is the time for a data policy shakeup. ","London, England"
"Last month, Christopher Wylie, a whistleblower, had said the company had worked ""extensively"" in India.  
",South Asia
"  That awkward moment when you are home alone and some guest shows up and now you are thinking what to talk about
",
"My main takeaway from the Kogan hearing yesterday: Facebook seem to be scapegoating him somewhat, but claiming that FB do not have a proper developer policy because he didn't read it properly seems weak ",London
"Government has asked Facebook to list out security architecture proposed to be created by the company ""so that data concerning Indians are not pilfered or manipulated again.""     ",India
Facebook Results to Be Scoured for Evidence of User Defections     ,New York
