tweets,location,category,latitude,longitude
"   capitalize on  new issues

  ","West Bengal, India",negative,22.9964948,87.6855882
"  Aleksandr Kogan unhappy with questions about his ties to Russia, says US and UK spy too. Damian Collins says: ""I don't k","Manhattan, NY",negative,40.7902778,-73.9597222
  Thread about UK  hearings ,"Florida, USA",negative,27.7567667,-81.4639835
Thread about UK  hearings ,Germany,negative,51.0834196,10.4234469
"No, 'the media' is not just out to get Facebook because its taking its advertising revenue    ",Melb AUS • Lon UK • Athens GRE,negative,NA,NA
"Golden thread, Silver needle.  ","Leith/Berlin, Berlin/Leith",negative,NA,NA
"Facebook has considered profiling its users' personalities and using the information to target adverts.

        

","North West, England",negative,51.3351685,7.26320898126877
Dodgy. Dodgy. Dodgy. Everything so far about   app developer Aleksandr Kogan' s answers to UK Parliamentary committee. Hit by Spectre     ,England,negative,52.7954791,-0.540240286617432
"How private is your private data? 
    
",Pale Blue Dot,negative,NA,NA
Good thread here on evidence of Cambridge scientist Aleksander Kogan to DCMS Committee on his use of  data &amp; relationship to  scandal.   ,"Bugbrooke, England",negative,52.20934665,-1.00857163201116
          ,"New York, New York",negative,40.7306458,-73.9866136
  A cartoon about  Looks like we're sharing our data willingly with Big Brother!   ,Europe,positive,51.0,10.0
Happend to me  is your data as useless as mine?     ,"Oslo, Norway",negative,59.9132694,10.7391112
A cartoon about  Looks like we're sharing our data willingly with Big Brother!     ,"Leicester, UK",positive,52.6361398,-1.1330789
"     is  cambridge analytica. Friends don't get fooled.

", India,positive,22.3511148,78.6677428
What is this  really all about? Convenience. Do you want it on  or not? Read my post on linkedin to find out more        ,"North East, England",positive,52.7954791,-0.540240286617432
"  iSocialFanz: Who's To Blame: Facebook or Cambridge Analytica or Us the Users?

Listen to danielnewmanUV and I thoughts on SMACtalkLIVE 


   danielnewmanUV","Milan, Italy",negative,45.4667971,9.1904984
"  Maybe its time to admit that data-driven companies, such as Facebook or Google, are holders of strategic global assets whi","Créteil, France",positive,48.7830727,2.4518371
"Where did this Secret Conversation thing come from on Facebook Messenger? For some reason, Im sure these conversations are automatically intercepted by Russian Intelligence. Right?!?   ","Kansas, USA",positive,38.27312,-98.5821872
"Good job. I did that long ago my friend. 
  ",Reality,positive,52.5333135,6.055348
"Jesus, is this another reason to leave Facebook?! Agree to the new terms or delete your account?     ","Galway, Ireland",positive,53.2744122,-9.0490632
"Facebook says it's removed more ISIS content by actively looking for it 
   ",Global,positive,43.7283874,-79.34914879325
"   is a cost-effective professional network for recruiters, and higher quality candidates that allows you to connect t",Indonesia,negative,-4.7993356,114.5632032
" capitalize on  new issues

              ","Maui, Hawaii",negative,20.8029568,-156.310683316022
"Researcher behind Cambridge Analytica flap: Mark Zuckerberg is 'totally' a hypocrite.

What a  







",Here,negative,10.9929,14.1999001
"How  can give us back control of our identity and help avoid another  ( scandal 
   
 
  ",Italy,negative,42.6384261,12.674297
"   
 Testifies  [VIDEO]    via   


 
 
 
   ",In The Cut,negative,48.6861529,6.1715014
"THREAD:
Let's keep the heat on the Oppressive Globalist Puppet 
Researcher behind Cambridge Analytica flap: Mark Zuckerberg is 'totally' a hypocrite 






","Land of Free, Home of the Brave",negative,NA,NA
 Great interview on  Interesting comment at approx 3:25: Kogan *seems* be saying $FB's existing ad platform is a better tool to harvest user data than the app he built for  ...,NYC Metro Area,positive,NA,NA
